instancecount,qos,delay,msg_rate,loss_rate,out_of_order,average_delay,msgs_recv_broker,msgs_sent_broker,sockets,published_dropped
1,0,0,58152.7667,0.0,0.0,0.0171,2110575.23,2154569.25,1.10,30504.29
1,0,1,598.5833,0.0565,0.0,1.4452,1724549.20,1248389.77,0.44,488354.35
1,0,2,327.55,0.0,0.0,3.0528,586222.40,427730.74,0.15,162559.04
1,0,4,169.3167,0.0,0.0,5.9057,240374.63,177005.30,0.06,64999.18
1,1,0,2176.1333,0.9895,0.0,0.4598,288714.71,224684.18,0,64041.04
1,1,1,630.2167,0.0,0.0,1.5867,196149.76,174840.34,0,28497.39
1,1,2,324.85,0.0,0.0,3.0783,91649.88,84560.97,0,9485.96
1,1,4,168.6667,0.0,0.0,5.9283,43502.29,41146.07,0,3157.60
1,2,0,664.0167,0.0,0.0,1.506,335527.46,335536.72,0,8231.29
1,2,1,630.7,0.0,0.0,1.5855,201977.20,201984.42,0,3291.28
1,2,2,326.9833,0.0,0.0,3.0581,107191.11,107197.66,0,1095.57
1,2,4,168.6833,0.0,0.0,5.9276,55523.79,55530.21,0,364.68
2,0,0,88032.4833,0.0,0.0,0.0227,3235031.45,3213942.01,0,21636.35
2,0,1,1166.9833,0.0851,0.0,1.364,3256275.68,1808987.07,0,1447505.07
2,0,2,652.5333,0.0,0.0,3.0435,1108602.31,626846.17,0,481832.58
2,0,4,339.5,0.0,0.0,5.8816,381147.78,220793.13,0,160388.13
2,1,0,17076.05,0.9557,0.0,0.1166,1213565.39,1212630.53,0,1262.57
2,1,1,1253.2667,0.0,0.0,1.5888,664144.67,663837.68,0,21031.89
2,1,2,652.9333,0.0,0.0,3.0496,274192.84,274094.13,0,7000.91
2,1,4,336.95,0.0,0.0,5.9091,117204.58,117174.98,0,2330.40
2,2,0,8205.5333,0.9752,0.0,0.242,1275844.09,1275853.99,0,19296.95
2,2,1,1251.9333,0.0,0.0,1.5859,644843.99,644853.16,0,7715.88
2,2,2,655.0,0.0,0.0,3.0499,295495.81,295502.23,0,2568.39
2,2,4,338.2833,0.0,0.0,5.9055,138245.20,138251.72,0,854.94
3,0,0,124703.1167,0.1973,0.0,0.0228,5735446.30,4588057.39,0,1147559.02
3,0,1,1780.2833,0.0674,0.0,1.4328,3883437.17,2136063.73,0,1747489.14
3,0,2,980.9,0.0,0.0,3.0401,1587677.78,888994.63,0,698732.93
3,0,4,508.9833,0.0,0.0,5.8741,549567.55,317000.52,0,232587.99
3,1,0,24346.85,0.9598,0.0,0.1109,1927726.73,1927728.94,0,137861.45
3,1,1,1876.15,0.0,0.0,1.5901,1010694.58,1010692.64,0,109396.74
3,1,2,979.3167,0.0,0.0,3.0463,416286.84,416289.81,0,36415.01
3,1,4,505.2167,0.0,0.0,5.8906,177629.93,177634.11,0,12121.50
3,2,0,14174.3167,0.9752,0.0,0.207,1897167.36,1897188.36,0,41528.44
3,2,1,1892.55,0.0028,0.0,1.5681,1065963.64,1065966.42,0,27655.35
3,2,2,984.4667,0.0,0.0,3.043,476169.34,476174.32,0,9205.67
3,2,4,509.3833,0.0,0.0,5.8809,218813.99,218820.03,0,3064.30
4,0,0,124390.5167,0.053,0.0,0.0319,5104578.02,4770989.60,0,333599.77
4,0,1,2097.0333,0.1777,0.0,1.4664,4363571.05,2247172.07,0,2116405.77
4,0,2,1312.0833,0.0,0.0,3.0381,1790171.39,943935.26,0,846244.12
4,0,4,680.0167,0.0,0.0,5.8625,624389.44,342706.29,0,281690.20
4,1,0,32439.7833,0.9516,0.0,0.1097,2510138.51,2510154.23,0,184290.46
4,1,1,2512.75,0.0005,0.0,1.5852,1340953.75,1340955.12,0,143837.48
4,1,2,1308.35,0.0,0.0,3.0417,553042.88,553048.24,0,47879.34
4,1,4,677.3167,0.0,0.0,5.8728,236345.77,236350.13,0,15937.65
4,2,0,18447.5333,0.9733,0.0,0.2081,2412390.65,2412415.23,0,74079.34
4,2,1,2544.0,0.009,0.0,1.509,1419991.36,1419995.54,0,65495.19
4,2,2,1316.1833,0.0,0.0,3.0315,632388.89,632394.66,0,21801.45
4,2,4,680.25,0.0,0.0,5.8654,293453.54,293462.59,0,7257.07
5,0,0,89321.05,0.0,0.0,0.0558,3505443.73,3411683.93,0,93766.52
5,0,1,3282.5167,-0.0237,0.2546,1.4452,5427061.65,2417661.09,0,3009484.63
5,0,2,1581.2167,0.0,0.0,3.0387,952933.91,471801.24,0,481155.64
5,0,4,836.3833,0.0,0.0,5.8648,351210.29,191059.52,0,160162.80
5,1,0,26018.9333,0.9643,0.0,0.1638,2238849.31,2238865.09,0,315415.77
5,1,1,3154.8667,0.0055,0.0,1.5761,1300152.30,1300152.85,0,223172.09
5,1,2,1633.5833,0.0,0.0,3.0427,566724.75,566727.89,0,74287.54
5,1,4,844.3333,0.0,0.0,5.8809,253297.99,253302.36,0,24728.17
5,2,0,16907.9167,0.9733,0.0,0.283,2140281.62,2140298.95,0,55196.72
5,2,1,3167.6,0.0247,0.0,1.4818,1343210.42,1343212.54,0,90257.23
5,2,2,1647.8833,0.0,0.0,3.0233,709388.53,709394.34,0,36089.32
5,2,4,846.9333,0.0,0.0,5.8553,343189.17,343197.01,0,12013.09
