msgcount,current,max,instance,topic
6012863,6067681,6067681,0,1/0/0
45111,45111,45111,0,1/0/1
23261,23261,23261,0,1/0/2
11895,11895,11895,0,1/0/4
133446,11995281,11995281,0,1/1/0
44980,44980,44980,0,1/1/1
23209,23209,23209,0,1/1/2
11876,11876,11876,0,1/1/4
38238,38238,38238,0,1/2/0
37751,37751,37751,0,1/2/1
19608,19608,19608,0,1/2/2
10110,10110,10110,0,1/2/4
3232818,3577041,3577041,0,2/0/0
3462187,4269854,4269854,1,2/0/0
35956,38122,38122,0,2/0/1
37083,38129,38129,1,2/0/1
19773,19773,19773,0,2/0/2
19736,19736,19736,1,2/0/2
10219,10219,10219,0,2/0/4
10205,10205,10205,1,2/0/4
506990,11385800,11385800,0,2/1/0
519311,11791331,11791331,1,2/1/0
37891,37891,37891,0,2/1/1
37450,37450,37450,1,2/1/1
19713,19713,19713,0,2/1/2
19497,19497,19497,1,2/1/2
10119,10119,10119,0,2/1/4
10174,10174,10174,1,2/1/4
247524,10077774,10077774,0,2/2/0
251711,10016426,10016426,1,2/2/0
37762,37762,37762,0,2/2/1
37608,37608,37608,1,2/2/1
19422,19422,19422,0,2/2/2
19666,19666,19666,1,2/2/2
10150,10150,10150,0,2/2/4
10123,10123,10123,1,2/2/4
2448369,3016642,3016642,0,3/0/0
2494122,2981798,2981798,1,3/0/0
2572018,3094637,3094637,2,3/0/0
31436,38249,38249,0,3/0/1
35286,38230,38230,1,3/0/1
33838,38208,38208,2,3/0/1
19749,19749,19749,0,3/0/2
19688,19688,19688,1,3/0/2
19589,19589,19589,2,3/0/2
10126,10126,10126,0,3/0/4
10100,10100,10100,1,3/0/4
10201,10201,10201,2,3/0/4
727155,12785595,12785595,0,3/1/0
709213,12636583,12636583,1,3/1/0
723974,13110089,13110089,2,3/1/0
37839,37839,37839,0,3/1/1
37378,37378,37378,1,3/1/1
37849,37849,37849,2,3/1/1
19658,19658,19658,0,3/1/2
19418,19418,19418,1,3/1/2
19669,19669,19669,2,3/1/2
10127,10127,10127,0,3/1/4
10175,10175,10175,1,3/1/4
10149,10149,10149,2,3/1/4
328819,11207629,11207629,0,3/2/0
324059,11006264,11006264,1,3/2/0
321610,11069350,11069350,2,3/2/0
37807,37807,37807,0,3/2/1
37804,37804,37804,1,3/2/1
37807,37807,37807,2,3/2/1
19405,19405,19405,0,3/2/2
19666,19666,19666,1,3/2/2
19692,19692,19692,2,3/2/2
10181,10181,10181,0,3/2/4
10143,10143,10143,1,3/2/4
10169,10169,10169,2,3/2/4
1811318,1964726,1964726,0,4/0/0
1872615,2009992,2009992,1,4/0/0
1811851,1921630,1921630,2,4/0/0
1905889,2070712,2070712,3,4/0/0
29939,38281,38281,0,4/0/1
29846,38261,38261,1,4/0/1
33294,38235,38235,2,4/0/1
31363,38272,38272,3,4/0/1
19551,19551,19551,0,4/0/2
19525,19525,19525,1,4/0/2
19721,19721,19721,2,4/0/2
19589,19589,19589,3,4/0/2
10118,10118,10118,0,4/0/4
10104,10104,10104,1,4/0/4
10198,10198,10198,2,4/0/4
10120,10120,10120,3,4/0/4
565314,10592169,10592169,0,4/1/0
548709,10247889,10247889,1,4/1/0
548950,10444735,10444735,2,4/1/0
553098,10383348,10383348,3,4/1/0
37696,37696,37696,0,4/1/1
37244,37244,37244,1,4/1/1
37073,37073,37073,2,4/1/1
37150,37150,37150,3,4/1/1
19584,19584,19584,0,4/1/2
19681,19681,19681,1,4/1/2
19592,19592,19592,2,4/1/2
19633,19633,19633,3,4/1/2
10140,10140,10140,0,4/1/4
10193,10193,10193,1,4/1/4
10132,10132,10132,2,4/1/4
10185,10185,10185,3,4/1/4
318519,10476444,10476444,0,4/2/0
309959,10336814,10336814,1,4/2/0
311039,10337894,10337894,2,4/2/0
318916,10738981,10738981,3,4/2/0
37985,37985,37985,0,4/2/1
37984,37984,37984,1,4/2/1
37983,37983,37983,2,4/2/1
37978,37978,37978,3,4/2/1
19433,19433,19433,0,4/2/2
19670,19670,19670,1,4/2/2
19713,19713,19713,2,4/2/2
19647,19647,19647,3,4/2/2
10194,10194,10194,0,4/2/4
10168,10168,10168,1,4/2/4
10187,10187,10187,2,4/2/4
10132,10132,10132,3,4/2/4
1064591,1064937,1064937,0,5/0/0
1031304,1031337,1031337,1,5/0/0
969902,969935,969935,2,5/0/0
1344337,1355042,1355042,3,5/0/0
1308345,1319057,1319057,4,5/0/0
37158,7154,38492,0,5/0/1
36335,6048,38427,1,5/0/1
39477,5999,38440,2,5/0/1
37494,9636,38471,3,5/0/1
38218,9515,38480,4,5/0/1
18462,18462,18462,0,5/0/2
17894,17894,17894,1,5/0/2
17854,17854,17854,2,5/0/2
19749,19749,19749,3,5/0/2
19697,19697,19697,4,5/0/2
9906,9906,9906,0,5/0/4
9613,9613,9613,1,5/0/4
9616,9616,9616,2,5/0/4
10209,10209,10209,3,5/0/4
10205,10205,10205,4,5/0/4
457404,8780349,8780349,0,5/1/0
452065,8709475,8709475,1,5/1/0
444341,8570681,8570681,2,5/1/0
456396,8779341,8779341,3,5/1/0
434023,8429293,8429293,4,5/1/0
37246,37246,37246,0,5/1/1
37404,37404,37404,1,5/1/1
37235,37235,37235,2,5/1/1
37336,37336,37336,3,5/1/1
37685,37685,37685,4,5/1/1
19454,19454,19454,0,5/1/2
19529,19529,19529,1,5/1/2
19458,19458,19458,2,5/1/2
19491,19491,19491,3,5/1/2
19672,19672,19672,4,5/1/2
10088,10088,10088,0,5/1/4
10140,10140,10140,1,5/1/4
10088,10088,10088,2,5/1/4
10099,10099,10099,3,5/1/4
10214,10214,10214,4,5/1/4
234599,7771124,7771124,0,5/2/0
234939,7836999,7836999,1,5/2/0
230492,7570412,7570412,2,5/2/0
236939,7904534,7904534,3,5/2/0
232802,7834862,7834862,4,5/2/0
36115,38225,38225,0,5/2/1
36801,38247,38247,1,5/2/1
36892,38228,38228,2,5/2/1
38240,38240,38240,3,5/2/1
37233,38249,38249,4,5/2/1
19745,19745,19745,0,5/2/2
19671,19671,19671,1,5/2/2
19709,19709,19709,2,5/2/2
19624,19624,19624,3,5/2/2
19624,19624,19624,4,5/2/2
10221,10221,10221,0,5/2/4
10181,10181,10181,1,5/2/4
10191,10191,10191,2,5/2/4
10150,10150,10150,3,5/2/4
10169,10169,10169,4,5/2/4
