msgcount,current,max,instance,topic
2932978,2932978,2932978,0,1/0/0
35630,38027,38027,0,1/0/1
19660,19660,19660,0,1/0/2
10150,10150,10150,0,1/0/4
125227,12314737,12314737,0,1/1/0
37801,37801,37801,0,1/1/1
19623,19623,19623,0,1/1/2
10101,10101,10101,0,1/1/4
46039,46039,46039,0,1/2/0
37870,37870,37870,0,1/2/1
19617,19617,19617,0,1/2/2
10146,10146,10146,0,1/2/4
2480785,2493926,2493926,0,2/0/0
2569117,2582089,2582089,1,2/0/0
38254,38254,38254,0,2/0/1
32608,38255,38255,1,2/0/1
19634,19634,19634,0,2/0/2
19725,19725,19725,1,2/0/2
10125,10125,10125,0,2/0/4
10167,10167,10167,1,2/0/4
527842,11472187,11472187,0,2/1/0
534369,11544249,11544249,1,2/1/0
37342,37342,37342,0,2/1/1
37793,37793,37793,1,2/1/1
19683,19683,19683,0,2/1/2
19585,19585,19585,1,2/1/2
10154,10154,10154,0,2/1/4
10116,10116,10116,1,2/1/4
246922,9815032,9815032,0,2/2/0
250589,10015304,10015304,1,2/2/0
38020,38020,38020,0,2/2/1
38137,38137,38137,1,2/2/1
19644,19644,19644,0,2/2/2
19709,19709,19709,1,2/2/2
10189,10189,10189,0,2/2/4
10059,10059,10059,1,2/2/4
2596287,3338810,3338810,0,3/0/0
2719038,3504820,3504820,1,3/0/0
2326899,2931629,2931629,2,3/0/0
35257,38189,38189,0,3/0/1
32734,38194,38194,1,3/0/1
38194,38194,38194,2,3/0/1
19647,19647,19647,0,3/0/2
19736,19736,19736,1,3/0/2
19708,19708,19708,2,3/0/2
10172,10172,10172,0,3/0/4
10229,10229,10229,1,3/0/4
10193,10193,10193,2,3/0/4
597982,12263212,12263212,0,3/1/0
472227,11990892,11990892,1,3/1/0
479960,12323738,12323738,2,3/1/0
37753,37753,37753,0,3/1/1
37587,37587,37587,1,3/1/1
37507,37507,37507,2,3/1/1
19717,19717,19717,0,3/1/2
19605,19605,19605,1,3/1/2
19577,19577,19577,2,3/1/2
10200,10200,10200,0,3/1/4
10152,10152,10152,1,3/1/4
10119,10119,10119,2,3/1/4
302896,10997640,10997640,0,3/2/0
285044,10859267,10859267,1,3/2/0
292299,10992804,10992804,2,3/2/0
38876,38885,38885,0,3/2/1
38648,38913,38913,1,3/2/1
38211,38913,38913,2,3/2/1
19633,19633,19633,0,3/2/2
19686,19686,19686,1,3/2/2
19804,19804,19804,2,3/2/2
10263,10263,10263,0,3/2/4
10092,10092,10092,1,3/2/4
10152,10152,10152,2,3/2/4
1861368,2031787,2031787,0,4/0/0
1839279,2027837,2027837,1,4/0/0
1665249,1788469,1788469,2,4/0/0
2030283,2214964,2214964,3,4/0/0
30322,38206,38206,0,4/0/1
34196,38210,38210,1,4/0/1
30879,38236,38236,2,4/0/1
33415,38246,38246,3,4/0/1
19665,19665,19665,0,4/0/2
19732,19732,19732,1,4/0/2
19733,19733,19733,2,4/0/2
19675,19675,19675,3,4/0/2
10187,10187,10187,0,4/0/4
10229,10229,10229,1,4/0/4
10217,10217,10217,2,4/0/4
10209,10209,10209,3,4/0/4
573099,10075674,10075674,0,4/1/0
480194,9864116,9864116,1,4/1/0
479119,9859336,9859336,2,4/1/0
501819,10002745,10002745,3,4/1/0
37881,37881,37881,0,4/1/1
37689,37689,37689,1,4/1/1
37633,37633,37633,2,4/1/1
37770,37770,37770,3,4/1/1
19711,19711,19711,0,4/1/2
19598,19598,19598,1,4/1/2
19574,19574,19574,2,4/1/2
19646,19646,19646,3,4/1/2
10102,10102,10102,0,4/1/4
10200,10200,10200,1,4/1/4
10185,10185,10185,2,4/1/4
10073,10073,10073,3,4/1/4
269172,9140618,9140618,0,4/2/0
246224,9005314,9005314,1,4/2/0
248391,9134684,9134684,2,4/2/0
258722,9140158,9140158,3,4/2/0
37806,39241,39241,0,4/2/1
38817,39246,39246,1,4/2/1
37766,39240,39240,2,4/2/1
37686,39258,39258,3,4/2/1
19923,19923,19923,0,4/2/2
19636,19636,19636,1,4/2/2
19758,19758,19758,2,4/2/2
19685,19685,19685,3,4/2/2
10245,10245,10245,0,4/2/4
10296,10296,10296,1,4/2/4
10169,10169,10169,2,4/2/4
10160,10160,10160,3,4/2/4
975585,979259,979259,0,5/0/0
1117567,1145509,1145509,1,5/0/0
981317,994651,994651,2,5/0/0
1273152,1285966,1285966,3,5/0/0
987130,988460,988460,4,5/0/0
40336,10129,38418,0,5/0/1
42210,9649,38418,1,5/0/1
40377,9844,38516,2,5/0/1
39502,9779,38406,3,5/0/1
39030,10084,38495,4,5/0/1
19750,19750,19750,0,5/0/2
19517,19517,19517,1,5/0/2
19617,19617,19617,2,5/0/2
19589,19589,19589,3,5/0/2
19734,19734,19734,4,5/0/2
10194,10194,10194,0,5/0/4
10240,10240,10240,1,5/0/4
10126,10126,10126,2,5/0/4
10092,10092,10092,3,5/0/4
10182,10182,10182,4,5/0/4
423099,8811655,8811655,0,5/1/0
273299,8609525,8609525,1,5/1/0
275683,8605214,8605214,2,5/1/0
299724,8746434,8746434,3,5/1/0
274860,8878687,8878687,4,5/1/0
38105,38110,38110,0,5/1/1
37983,37990,37990,1,5/1/1
37937,37937,37937,2,5/1/1
38037,38060,38060,3,5/1/1
37924,38100,38100,4,5/1/1
19508,19508,19508,0,5/1/2
19726,19726,19726,1,5/1/2
