msgcount,current,max,instance,topic
19694,19694,19694,2,5/1/2
19443,19443,19443,3,5/1/2
19485,19485,19485,4,5/1/2
10057,10057,10057,0,5/1/4
10182,10182,10182,1,5/1/4
10166,10166,10166,2,5/1/4
10169,10169,10169,3,5/1/4
10244,10244,10244,4,5/1/4
214275,7112634,7112634,0,5/2/0
200588,7045579,7045579,1,5/2/0
204489,7113074,7113074,2,5/2/0
208506,7179934,7179934,3,5/2/0
198477,7045357,7045357,4,5/2/0
38571,39358,39358,0,5/2/1
37185,39379,39379,1,5/2/1
37005,39374,39374,2,5/2/1
37075,39398,39398,3,5/2/1
38049,39376,39376,4,5/2/1
20025,20025,20025,0,5/2/2
19757,19757,19757,1,5/2/2
19876,19876,19876,2,5/2/2
19792,19792,19792,3,5/2/2
19738,19738,19738,4,5/2/2
10309,10309,10309,0,5/2/4
10333,10333,10333,1,5/2/4
10204,10204,10204,2,5/2/4
10357,10357,10357,3,5/2/4
10307,10307,10307,4,5/2/4
